Project name,Release,Date,Class name,Size,NR,NAuth,Age,MAX_LOC_ADDED,LOC_ADDED,AVG_LOC_ADDDED,Churn,AVG_CHURN,buggyness
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/ZooKeeper.java,1030,35,6,51,1122,9008,257,1030,29,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/Watcher.java,107,11,2,51,64,454,41,107,9,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/jmx/MBeanRegistry.java,175,8,3,20,173,874,109,175,21,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/jmx/ZKMBeanInfo.java,36,7,2,20,34,178,25,36,5,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/Version.java,78,13,2,36,76,533,41,78,6,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/ServerAdminClient.java,312,13,4,51,264,2184,168,312,24,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/ClientWatchManager.java,39,3,2,4,41,44,14,39,13,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/ZooKeeperMain.java,232,6,2,10,228,246,41,232,38,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/WatchedEvent.java,81,2,1,4,73,83,41,81,40,no
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/CreateMode.java,89,1,1,7,89,89,89,89,89,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/ZooDefs.java,112,12,3,51,114,697,58,112,9,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/AsyncCallback.java,52,9,3,51,50,314,34,52,5,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/server/ByteBufferInputStream.java,72,8,2,51,70,429,53,72,9,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/server/SessionTrackerImpl.java,219,18,5,51,220,1375,76,219,12,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/FileSnap.java,159,5,3,3,134,170,34,159,31,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/FileTxnLog.java,485,4,2,3,480,491,122,485,121,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/SnapShot.java,60,2,2,3,59,61,30,60,30,no
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java,246,4,3,3,236,254,63,246,61,yes
