Project name,Release,Class name,Size,NR,NAuth,Age,MAX_LOC_ADDED,LOC_ADDED,AVG_LOC_ADDDED,Churn,AVG_CHURN,buggyness
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,15,3,35,545,1791,119,1026,68,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,4,3,35,151,315,78,157,39,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,4,3,35,81,202,50,92,23,no
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,10,3,35,487,1120,112,471,47,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,5,2,35,168,363,72,180,36,no
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,6,3,35,124,334,55,204,34,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,6,3,35,133,301,50,149,24,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,8,3,35,536,1157,144,551,68,no
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,4,3,35,66,196,49,132,33,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181,8,3,35,178,381,47,181,22,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/checksum/CRC32DigestManager.java,50,3,2,35,50,103,34,50,16,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/checksum/DigestManager.java,185,6,3,35,184,391,65,185,30,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/checksum/MacDigestManager.java,67,5,3,35,67,143,28,67,13,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,10,3,35,573,1256,125,603,60,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,12,3,35,209,698,58,393,32,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154,5,3,35,75,237,47,154,30,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,144,1,1,1,144,144,144,144,144,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,193,1,1,1,193,193,193,193,193,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,253,2,1,1,251,255,127,253,126,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,1,1,1,98,98,98,98,98,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,204,1,1,1,204,204,204,204,204,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,514,1,1,1,514,514,514,514,514,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,7,3,35,209,647,92,234,33,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,4,2,35,38,87,21,39,9,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,4,3,35,94,192,48,69,17,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,173,4,3,35,94,188,47,173,43,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,365,7,3,35,216,376,53,365,52,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,159,5,3,35,61,161,32,159,31,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,666,6,3,35,377,687,114,666,111,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/server/Main.java,54,4,3,35,54,113,28,54,13,no
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,4,2,35,173,357,89,174,43,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,4,2,35,147,305,76,148,37,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,10,3,35,410,1450,145,548,54,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,6,2,5,714,931,155,728,121,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,4,2,35,83,216,54,84,21,no
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,87,3,2,35,87,175,58,87,29,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/api/BookKeeper.java,548,10,3,35,410,1450,145,548,54,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/api/LedgerEntry.java,84,4,2,35,83,216,54,84,21,no
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/api/LedgerMetadata.java,248,8,3,35,198,486,60,248,31,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/api/BKException.java,271,5,3,35,249,529,105,271,54,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,173,5,3,35,170,363,72,173,34,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,3,2,35,85,171,57,85,28,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,157,9,3,35,167,377,41,157,17,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,103,6,2,18,101,127,21,103,17,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,169,10,3,35,140,372,37,169,16,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,5,3,35,80,172,34,81,16,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,78,1,1,3,78,78,78,78,78,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,165,5,3,35,138,320,64,165,33,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205,5,2,35,204,416,83,205,41,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,196,7,3,35,178,402,57,196,28,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,6,3,35,126,395,65,137,22,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,762,13,3,35,547,2009,154,762,58,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,5,3,35,249,529,105,271,54,yes
BOOKKEEPER,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,4,3,35,61,127,31,61,15,no
BOOKKEEPER,4.0.0,stream/proto/target/generated-sources/protobuf/java/org/apache/bookkeeper/stream/proto/kv/store/FileInfo.java,204,6,3,35,124,334,55,204,34,yes
BOOKKEEPER,4.0.0,stream/api/src/main/java/org/apache/bookkeeper/api/kv/options/Option.java,43,1,1,35,43,43,43,43,43,no
BOOKKEEPER,4.0.0,stream/common/src/main/java/org/apache/bookkeeper/common/grpc/stats/ServerStats.java,148,2,1,35,148,296,148,148,74,yes
BOOKKEEPER,4.0.0,stream/distributedlog/core/src/main/java/org/apache/distributedlog/bk/LedgerMetadata.java,248,8,3,35,198,486,60,248,31,yes
BOOKKEEPER,4.0.0,stream/storage/impl/src/main/java/org/apache/bookkeeper/stream/storage/impl/grpc/handler/ResponseHandler.java,366,5,2,35,365,390,78,366,73,yes
BOOKKEEPER,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,5,2,35,252,340,68,244,48,yes
BOOKKEEPER,4.0.0,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/MathUtils.java,38,3,2,35,38,81,27,38,12,yes
BOOKKEEPER,4.0.0,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/SafeRunnable.java,39,4,2,35,38,87,21,39,9,no
BOOKKEEPER,4.0.0,bookkeeper-common/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,3,2,35,38,81,27,38,12,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,32,1,1,12,32,32,32,32,32,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,40,1,1,13,40,40,40,40,40,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java,52,2,1,12,53,55,27,52,26,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,91,1,1,8,91,91,91,91,91,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,196,2,1,13,195,202,101,196,98,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,764,20,3,62,1027,1607,80,-262,-13,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,163,2,2,62,6,9,4,6,3,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,66,2,1,12,69,74,37,66,33,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,150,2,2,62,24,63,31,58,29,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,509,7,3,13,378,545,77,509,72,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,88,2,1,12,113,118,59,88,44,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,379,4,3,15,160,401,100,379,94,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,576,3,2,8,550,589,196,576,192,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,473,12,3,62,113,375,31,2,0,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,0,0,62,0,0,0,0,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyEntryLogger.java,58,1,0,0,58,58,58,58,58,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,255,4,1,62,33,130,32,51,12,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,684,1,0,0,684,684,684,684,684,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyFileInfo.java,44,1,0,0,44,44,44,44,44,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,187,4,2,8,183,211,52,187,46,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,158,3,1,18,157,161,53,158,52,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,62,5,1,62,17,74,14,-87,-17,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,46,8,2,62,86,128,16,-505,-63,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,788,7,3,12,712,842,120,788,112,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java,236,1,1,19,236,236,236,236,236,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,0,0,62,0,0,0,0,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,227,3,2,62,22,49,16,46,15,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/checksum/CRC32DigestManager.java,55,1,1,62,6,9,9,5,5,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/checksum/DigestManager.java,184,3,2,62,1,8,2,-1,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/checksum/MacDigestManager.java,84,1,1,62,18,26,26,17,17,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,694,10,3,62,39,193,19,91,9,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,507,9,2,62,27,153,17,114,12,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,172,3,2,62,8,20,6,18,6,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,147,1,1,28,2,5,5,3,3,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,175,2,2,28,3,12,6,-18,-9,no
