Dataset,#TrainingRelease,%training (data on training / total data),%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
zookeeper-files/ZOOKEEPER,1,0.023183444842072506,0.021316321767543178,0.017115294849852185,NaiveBayes,NONE,false,NONE,108.0,41.0,1.0,2.0,0.7248322147651006,0.9818181818181818,0.6728354978354978,0.007893139040679899
zookeeper-files/ZOOKEEPER,1,0.023183444842072506,0.021316321767543178,0.017115294849852185,IBk,NONE,false,NONE,106.0,40.0,2.0,4.0,0.726027397260274,0.9636363636363636,0.49534632034632037,0.015312131919905906
zookeeper-files/ZOOKEEPER,1,0.023183444842072506,0.021316321767543178,0.017115294849852185,Random Forest,NONE,false,NONE,110.0,42.0,0.0,0.0,0.7236842105263158,1.0,0.7504329004329005,0.0
zookeeper-files/ZOOKEEPER,2,0.046833670452777344,0.038431616617395366,0.0273844717597635,NaiveBayes,NONE,false,NONE,38.0,0.0,0.0,138.0,1.0,0.2159090909090909,NaN,0.0
zookeeper-files/ZOOKEEPER,2,0.046833670452777344,0.038431616617395366,0.0273844717597635,IBk,NONE,false,NONE,156.0,0.0,0.0,20.0,1.0,0.8863636363636364,NaN,0.0
zookeeper-files/ZOOKEEPER,2,0.046833670452777344,0.038431616617395366,0.0273844717597635,Random Forest,NONE,false,NONE,166.0,0.0,0.0,10.0,1.0,0.9431818181818182,NaN,0.0
zookeeper-files/ZOOKEEPER,3,0.07421814221254085,0.06581608837715885,0.012447487163528862,NaiveBayes,NONE,false,NONE,16.0,5.0,91.0,64.0,0.7619047619047619,0.2,0.5274088541666667,0.15760266370699222
zookeeper-files/ZOOKEEPER,3,0.07421814221254085,0.06581608837715885,0.012447487163528862,IBk,NONE,false,NONE,66.0,86.0,10.0,14.0,0.4342105263157895,0.825,0.430078125,-0.06589147286821705
zookeeper-files/ZOOKEEPER,3,0.07421814221254085,0.06581608837715885,0.012447487163528862,Random Forest,NONE,false,NONE,67.0,87.0,9.0,13.0,0.43506493506493504,0.8375,0.434375,-0.06382978723404249
zookeeper-files/ZOOKEEPER,4,0.10160261397230434,0.07826357554068772,0.004978994865411545,NaiveBayes,NONE,false,NONE,17.0,51.0,137.0,15.0,0.25,0.53125,0.6510970744680851,0.17724388032638258
zookeeper-files/ZOOKEEPER,4,0.10160261397230434,0.07826357554068772,0.004978994865411545,IBk,NONE,false,NONE,29.0,139.0,49.0,3.0,0.17261904761904762,0.90625,0.5675698138297872,0.060394610202117394
zookeeper-files/ZOOKEEPER,4,0.10160261397230434,0.07826357554068772,0.004978994865411545,Random Forest,NONE,false,NONE,31.0,160.0,28.0,1.0,0.16230366492146597,0.96875,0.5900099734042553,0.038440655880117275
zookeeper-files/ZOOKEEPER,5,0.1358332036720087,0.08324257040609927,0.008090866656293761,NaiveBayes,NONE,false,NONE,6.0,8.0,165.0,46.0,0.42857142857142855,0.11538461538461539,0.5392952423299244,0.09287740779453486
zookeeper-files/ZOOKEEPER,5,0.1358332036720087,0.08324257040609927,0.008090866656293761,IBk,NONE,false,NONE,22.0,78.0,95.0,30.0,0.22,0.4230769230769231,0.4925522454424189,-0.021008403361344487
zookeeper-files/ZOOKEEPER,5,0.1358332036720087,0.08324257040609927,0.008090866656293761,Random Forest,NONE,false,NONE,12.0,53.0,120.0,40.0,0.18461538461538463,0.23076923076923078,0.5478546020453535,-0.0695118834653719
zookeeper-files/ZOOKEEPER,6,0.17084176131943363,0.09133343706239302,0.002178310253617551,NaiveBayes,NONE,false,NONE,3.0,21.0,213.0,11.0,0.125,0.21428571428571427,0.5894383394383395,0.09323583180987202
