Project name,Release,Class name,Size,NR,NAuth,Age,MAX_LOC_ADDED,LOC_ADDED,AVG_LOC_ADDDED,Churn,AVG_CHURN,buggyness
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/ACLTest.java,155,1,1,1,155,155,155,155,155,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/TestHammer.java,62,12,4,50,46,247,20,62,5,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/KeeperStateTest.java,50,1,1,4,50,50,50,50,50,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/QuorumTest.java,185,16,5,50,88,626,39,185,11,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/OOMTest.java,149,12,3,50,128,679,56,149,12,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/RecoveryTest.java,209,14,4,50,129,793,56,209,14,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/IntegrityCheck.java,232,11,3,31,213,1118,101,232,21,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/ClientBase.java,381,13,3,17,146,426,32,381,29,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/AsyncTest.java,277,17,5,50,208,1388,81,277,16,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/WatchedEventTest.java,95,1,1,4,95,95,95,95,95,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/EventTypeTest.java,50,1,1,4,50,50,50,50,50,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/SyncCallTest.java,96,3,2,11,114,118,39,96,32,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/ClientTest.java,737,24,5,50,336,2562,106,737,30,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/SessionTest.java,187,16,5,50,100,696,43,187,11,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/AsyncOps.java,500,3,3,7,487,505,168,500,166,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/AsyncOpsTest.java,178,2,2,7,178,180,90,178,89,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/DisconnectableZooKeeper.java,54,1,1,7,54,54,54,54,54,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/FLETest.java,321,2,2,3,193,363,181,321,160,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/ZooKeeperTestClient.java,392,14,4,50,388,1972,140,392,28,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/WatcherFuncTest.java,460,6,2,17,436,572,95,460,76,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/CreateModeTest.java,81,1,1,7,81,81,81,81,81,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/WatcherTest.java,284,4,3,4,163,298,74,284,71,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/SledgeHammer.java,115,12,4,50,98,528,44,115,9,no
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/test/StatTest.java,205,2,2,2,198,205,102,205,102,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/server/SerializationPerfTest.java,113,9,3,27,105,529,58,113,12,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/server/DataTreeTest.java,62,12,5,30,59,322,26,62,5,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/server/CRCTest.java,155,1,1,0,155,155,155,155,155,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/server/DeserializationPerfTest.java,106,8,2,27,89,483,60,106,13,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/test/java/org/apache/zookeeper/server/ZooKeeperServerTest.java,91,9,3,29,70,454,50,91,10,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/ZooKeeper.java,1030,35,6,51,1122,9008,257,1030,29,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/Watcher.java,107,11,2,51,64,454,41,107,9,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/jmx/MBeanRegistry.java,175,8,3,20,173,874,109,175,21,no
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/jmx/ZKMBeanInfo.java,36,7,2,20,34,178,25,36,5,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/Version.java,78,13,2,36,76,533,41,78,6,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/ServerAdminClient.java,312,13,4,51,264,2184,168,312,24,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/ClientWatchManager.java,39,3,2,4,41,44,14,39,13,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/ZooKeeperMain.java,232,6,2,10,228,246,41,232,38,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/version/util/VerGen.java,120,12,3,35,109,805,67,120,10,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/WatchedEvent.java,81,2,1,4,73,83,41,81,40,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/CreateMode.java,89,1,1,7,89,89,89,89,89,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/ZooDefs.java,112,12,3,51,114,697,58,112,9,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/AsyncCallback.java,52,9,3,51,50,314,34,52,5,yes
ZOOKEEPER,3.0.0,zookeeper-server/src/main/java/org/apache/zookeeper/server/ByteBufferInputStream.java,72,8,2,51,70,429,53,72,9,no
